"State or other
 jurisdiction",1968 ,1970 ,1972,1976 ,1979,1980,1981,1988,1991,1992,1994,1996,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Federal (FLSA),1.6,1.6,1.60,2.3,2.90,3.10,3.35,3.35,3.80,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Alaska,2.1,2.1,2.1,2.8,3.4,3.6,3.85,3.85,4.3,4.75,4.75,4.75,5.25,5.65,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75,8.75
Arizona,.66,.66,.66,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05
Arkansas,0.625,1.1,1.2,1.9,2.3,2.55,2.7,3.25,3.35,3.65,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15 ,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,7.50
California,1.65,1.65,1.65,2,2.9,2.9,3.35,3.35,4.25,4.25,4.25,4.25,4.75,5.15,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,9,9
Colorado,1.25,1.25,1.25,1.25,1.9,1.9,1.9,3,3,3,3,3,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8,8.23
Connecticut,1.4,1.6,1.85,2.31,2.91,3.12,3.37,3.75,4.25,4.27,4.27,4.27,4.77,5.18,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8,8.25,8.25,8.25,8.25,8.7,9.15
Delaware,1.25,1.25,1.6,2,2,2,2,3.35,3.8,4.25,4.25,4.65,5,5.15,5.65,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.25
Florida,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93,8.05
Georgia,...,...,1.25,1.25,1.23,1.25,1.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Hawaii,1.25,1.6,1.6,2.4,2.65,2.9,3.1,3.85,3.85,3.85,5.25,5.25,5.25,5.25,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75
Idaho,1.15,1.25,1.4,1.6,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,...,...,1.4,2.1,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.50,6.50,6.50,6.50,7.50,7.75,8.00,8.25,8.25,8.25,8.25,8.25
Indiana,1.15,1.25,1.25,1.25,2,2,2,2,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25
Iowa,...,...,...,...,...,...,...,...,4.25,4.65,4.65,4.65,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,...,...,...,...,1.6,1.6,1.6,1.6,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,0.75,0.75,0.75,1.6,2,2.15,2.15,3.35,3.8,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Maine,1.4,1.6,1.8,2.3,2.9,3.1,3.35,3.65,3.85,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5,7.5
